japanese,english
達成,achievement
適応,adaptation
管理,administration
承認,approval
議論,argument
美術,art
評価,assessment
偶然,coincidence
集中,concentration
確認,confirmation
混乱,confusion
相談,consultation
貢献,contribution
議論,debate
決定,decision
定義,definition
説明,description
差異,difference
困難,difficulty
疑い,doubt
努力,effort
環境,environment
証拠,evidence
経験,experience
失敗,failure
適応性,fitness
自由,freedom
目標,goal
調和,harmony
自己同一性,identity
無知,ignorance
像,image
影響,influence
情報,information
進歩,progress
知識,knowledge
学習,learning
教訓,lesson
生活様式,lifestyle
限界,limit
奇跡,miracle
動き,movement
意見,opinion
組織,organization
思考模型,paradigm
現象,phenomena
哲学,philosophy
準備,preparation
秘密,privacy
過程,process
質問,question
実現,realization
認識,recognition
反省,reflection
資源,resource
責任,responsibility
リスク,risk
役割,role
安全,safety
筋書き,scenario
戦略,strategy
成功,success
理論,theory
伝統,tradition
変革,transformation
理解,understanding
価値,value
視覚,vision
弱点,weakness
富,wealth
意志,will
知恵,wisdom
信仰,belief
変化,change
選択,choice
交信,communication
矛盾,contradiction
依存,dependence
発展,development
多様性,diversity
教育,education
エネルギー,energy
平等,equality
探求,exploration
予測,forecast
形成,formation
友情,friendship
成長,growth
指導,guidance
健康,health
遺産,heritage
想像力,imagination
態度,attitude
行動,behavior
信念,belief
挑戦,challenge
複雑さ,complexity
信頼,confidence
創造性,creativity
危機,crisis
批判,criticism
文化,culture
議会,democracy
運命,destiny
差別,discrimination
効果,effect
効率,efficiency
公平性,equity
倫理,ethics
評価,evaluation
運命,fate
特徴,feature
変動,fluctuation
見通し,forecast
未来,future
祖先,heritage
人間性,humanity
無害,innocence
公正,justice
語彙,knowledge
意味,meaning
思考,mindset
機会,opportunity
規則,rule
分野,sector
感覚,sensation
サービス,service
静寂,silence
解決策,solution
戦略,strategy
体系,system
技術,technology
脅威,threat
統一,unity
更新,update
検証,validation
保証,warranty
水源,water
状態,condition
対話,dialogue
異なり,distinction
経済,economics
実体,entity
夢,dream
才能,talent
連帯,solidarity
犠牲,sacrifice
規模,scale
信頼,trust
協調,coordination
緊急,emergency
矛盾,inconsistency
介入,intervention
労働,labor
法律,law
流動性,liquidity
道徳,morality
適応性,negotiability
観察,observation
予測,prediction
財産,property
資質,quality
量,quantity
補償,restitution
戦略,strategy
構造,structure
側面,aspect
バランス,balance
選択,choice
倫理,ethics
勢力,power
価格,price
製品,product
調整,regulation
安全性,safety
規模,scale
戦略,strategy
緊張,tension
理論,theory
時代,trend
信頼,trust
更新,update
価値,value
成功,win
失敗,loss
japanese,english
受け入れる,accept
達成する,achieve
得る,acquire
行動する,act
追加する,add
承認する,approve
主張する,argue
到着する,arrive
攻撃する,attack
避ける,avoid
信じる,believe
借りる,borrow
壊す,break
建てる,build
買う,buy
キャンセルする,cancel
選ぶ,choose
清掃する,clean
閉じる,close
集める,collect
比較する,compare
競争する,compete
完了する,complete
包む,contain
続ける,continue
制御する,control
調理する,cook
コピーする,copy
作る,create
決定する,decide
定義する,define
届ける,deliver
設計する,design
発展する,develop
掘る,dig
議論する,discuss
分配する,distribute
描く,draw
飲む,drink
運転する,drive
食べる,eat
教育する,educate
強調する,emphasize
楽しむ,enjoy
確立する,establish
評価する,evaluate
交換する,exchange
期待する,expect
説明する,explain
失敗する,fail
落ちる,fall
感じる,feel
戦う,fight
見つける,find
終わる,finish
追う,follow
予見する,forecast
忘れる,forget
形成する,form
得る,gain
与える,give
成長する,grow
持つ,hold
希望する,hope
急ぐ,hurry
改善する,improve
増加する,increase
影響を与える,influence
情報を得る,inquire
導入する,introduce
発明する,invent
保つ,keep
学ぶ,learn
借りる,lend
聞く,listen
失う,lose
作る,make
管理する,manage
測る,measure
溶ける,melt
混ぜる,mix
移動する,move
必要とする,need
ネゴシエートする,negotiate
観察する,observe
提供する,offer
開く,open
操作する,operate
注文する,order
組織する,organize
描く,paint
計画する,plan
演奏する,play
準備する,prepare
生産する,produce
保護する,protect
提供する,provide
質問する,question
読む,read
受け取る,receive
認識する,recognize
記録する,record
参照する,refer
拒否する,refuse
関連付ける,relate
リリースする,release
覚える,remember
修復する,repair
報告する,report
要求する,request
研究する,research
リスクを冒す,risk
救う,save
見る,see
販売する,sell
送る,send
設定する,set
共有する,share
示す,show
閉じる,shut
署名する,sign
歌う,sing
座る,sit
眠る,sleep
笑う,smile
話す,speak
速度を上げる,speed
花を咲かせる,spend
開始する,start
学ぶ,study
成功する,succeed
提案する,suggest
供給する,supply
支持する,support
生き残る,survive
教える,teach
思考する,think
訓練する,train
理解する,understand
使用する,use
訪れる,visit
待つ,wait
目覚める,wake
勝つ,win
書く,write
