japanese,english
本棚を買わないと。,I nedd to buy a bookshelf.
そう感情的にならないで。,Don't be so emotional.
どんな料理が一番好きですか?,What kind of food do you like the best?
二度としません。,I will not do it again.
ごめんなさいと言いたいです。,I'd like to say I'm sorry.
私は自分のスペイン語に磨きをかけたいと思っています。,I'd like to brush up my Spanish.
アドバイスをもらわないと。,I need to ask for advice.
どうしたら新しいアカウントを作成できますか?,How can I make a new account?
寝る準備はできている?,Are you ready to go to bed?
情報をシェアしてくれてありがとう。,Thank you for sharing the information with me.
決して諦めないよ。,I will never give up.
この近くに郵便局はありますか?,Is there a post office near here?
あのときを忘れない。,I will not forget that time.
明日、英語の授業はありますか?,Is there English class tomorrow?
ごめん、起こしちゃった?,Sorry did I wake you?
どこで申し込みができますか?,Where can I sign up?
メアリー、今夜あなたのところに行ってもいいい?,"Hey Mary, can I go over to your place tonight?"
参加しません。,I will not participate.
傷つけちゃった?,Did I hurt you?
